applicant_id,application_date,municipality,household_type,household_size,annual_income_cad,income_band,priority_group,immigration_status,requested_housing_type,bedrooms_needed,accessibility_needs,current_housing_situation,vulnerability_score_0_100,urgency_score_0_100,predicted_wait_days,actual_wait_days,outcome,housing_provider,notes
FVR-E0012,2025-04-18,Abbotsford,Family with children,3,26800,Low income,Homeless/At risk,Citizen,Transitional housing,3,None,Unsafe/Violence,96,60,226,206,Housed,High Priority Housing Society,
FVR-E0013,2025-04-22,Chilliwack,Single adult,1,27450,Low income,Disability,Permanent Resident,Assisted living,1,Wheelchair,Shelter,99,65,234,237,Waiting,Abbotsford Community Housing,
FVR-E0014,2025-04-26,Mission,Senior living alone,5,28100,Low income,Newcomer/Refugee,Refugee,Co-op housing,3,None,Couch-surfing,62,70,242,246,Waiting,BC Housing (Fraser),
FVR-E0015,2025-04-30,Hope,Couple no kids,2,28750,Low income,Senior,Work Permit,Family supportive housing,2,Wheelchair,Unsheltered,65,75,130,135,Waiting,Fraser Valley Housing Society,
FVR-E0016,2025-05-04,Kent/Agassiz,Single parent,1,29400,Low income,Homeless/At risk,International Student,Justice re-entry housing,1,None,Renting >30% income,68,80,138,118,Housed,Chilliwack Community Services,
FVR-E0017,2025-05-08,Langley (Fraser Valley),Youth aging out of care,5,30050,Low income,Disability,Citizen,Subsidized rental,3,Wheelchair,Overcrowded,71,85,146,153,Waiting,Mission Housing Assoc.,
FVR-E0018,2025-05-12,Abbotsford,Family with children,3,30700,Low income,Newcomer/Refugee,Permanent Resident,Supportive housing,3,None,Unsafe/Violence,74,90,154,162,Waiting,Faith-based Housing Partner,
FVR-E0019,2025-05-16,Chilliwack,Single adult,1,31350,Low income,Senior,Refugee,Transitional housing,1,Wheelchair,Shelter,77,95,162,171,Waiting,High Priority Housing Society,
FVR-E0020,2025-05-20,Mission,Senior living alone,5,32000,Low income,Homeless/At risk,Work Permit,Assisted living,3,None,Couch-surfing,80,50,170,150,Housed,Abbotsford Community Housing,
FVR-E0021,2025-05-24,Hope,Couple no kids,2,32650,Low income,Disability,International Student,Co-op housing,2,Wheelchair,Unsheltered,83,55,178,179,Waiting,BC Housing (Fraser),
FVR-E0022,2025-05-28,Kent/Agassiz,Single parent,1,33300,Low income,Newcomer/Refugee,Citizen,Family supportive housing,1,None,Renting >30% income,86,60,186,188,Waiting,Fraser Valley Housing Society,
FVR-E0023,2025-06-01,Langley (Fraser Valley),Youth aging out of care,5,33950,Low income,Senior,Permanent Resident,Justice re-entry housing,3,Wheelchair,Overcrowded,89,65,194,197,Waiting,Chilliwack Community Services,
FVR-E0024,2025-06-05,Abbotsford,Family with children,3,34600,Low income,Homeless/At risk,Refugee,Subsidized rental,3,None,Unsafe/Violence,92,70,202,182,Housed,Mission Housing Assoc.,
FVR-E0025,2025-06-09,Chilliwack,Single adult,1,35250,Moderate income,Disability,Work Permit,Supportive housing,1,Wheelchair,Shelter,95,75,210,215,Waiting,Faith-based Housing Partner,
FVR-E0026,2025-06-13,Mission,Senior living alone,5,35900,Moderate income,Newcomer/Refugee,International Student,Transitional housing,3,None,Couch-surfing,98,80,218,224,Waiting,High Priority Housing Society,
FVR-E0027,2025-06-17,Hope,Couple no kids,2,36550,Moderate income,Senior,Citizen,Assisted living,2,Wheelchair,Unsheltered,61,85,226,233,Waiting,Abbotsford Community Housing,
FVR-E0028,2025-06-21,Kent/Agassiz,Single parent,1,37200,Moderate income,Homeless/At risk,Permanent Resident,Co-op housing,1,None,Renting >30% income,64,90,234,214,Housed,BC Housing (Fraser),
FVR-E0029,2025-06-25,Langley (Fraser Valley),Youth aging out of care,5,37850,Moderate income,Disability,Refugee,Family supportive housing,3,Wheelchair,Overcrowded,67,95,242,251,Waiting,Fraser Valley Housing Society,
FVR-E0030,2025-06-29,Abbotsford,Family with children,3,38500,Moderate income,Newcomer/Refugee,Work Permit,Justice re-entry housing,3,None,Unsafe/Violence,70,50,130,130,Waiting,Chilliwack Community Services,
FVR-E0031,2025-07-03,Chilliwack,Single adult,1,39150,Moderate income,Senior,International Student,Subsidized rental,1,Wheelchair,Shelter,73,55,138,139,Waiting,Mission Housing Assoc.,
FVR-E0032,2025-07-07,Mission,Senior living alone,5,39800,Moderate income,Homeless/At risk,Citizen,Supportive housing,3,None,Couch-surfing,76,60,146,126,Housed,Faith-based Housing Partner,
FVR-E0033,2025-07-11,Hope,Couple no kids,2,40450,Moderate income,Disability,Permanent Resident,Transitional housing,2,Wheelchair,Unsheltered,79,65,154,157,Waiting,High Priority Housing Society,
FVR-E0034,2025-07-15,Kent/Agassiz,Single parent,1,41100,Moderate income,Newcomer/Refugee,Refugee,Assisted living,1,None,Renting >30% income,82,70,162,166,Waiting,Abbotsford Community Housing,
FVR-E0035,2025-07-19,Langley (Fraser Valley),Youth aging out of care,5,41750,Moderate income,Senior,Work Permit,Co-op housing,3,Wheelchair,Overcrowded,85,75,170,175,Waiting,BC Housing (Fraser),
FVR-E0036,2025-07-23,Abbotsford,Family with children,3,42400,Moderate income,Homeless/At risk,International Student,Family supportive housing,3,None,Unsafe/Violence,88,80,178,158,Housed,Fraser Valley Housing Society,
FVR-E0037,2025-07-27,Chilliwack,Single adult,1,43050,Moderate income,Disability,Citizen,Justice re-entry housing,1,Wheelchair,Shelter,91,85,186,193,Waiting,Chilliwack Community Services,
FVR-E0038,2025-07-31,Mission,Senior living alone,5,43700,Moderate income,Newcomer/Refugee,Permanent Resident,Subsidized rental,3,None,Couch-surfing,94,90,194,202,Waiting,Mission Housing Assoc.,
FVR-E0039,2025-08-04,Hope,Couple no kids,2,44350,Moderate income,Senior,Refugee,Supportive housing,2,Wheelchair,Unsheltered,97,95,202,211,Waiting,Faith-based Housing Partner,
FVR-E0040,2025-08-08,Kent/Agassiz,Single parent,1,45000,Moderate income,Homeless/At risk,Work Permit,Transitional housing,1,None,Renting >30% income,60,50,210,190,Housed,High Priority Housing Society,
FVR-E0041,2025-08-12,Langley (Fraser Valley),Youth aging out of care,5,45650,Moderate income,Disability,International Student,Assisted living,3,Wheelchair,Overcrowded,63,55,218,219,Waiting,Abbotsford Community Housing,
FVR-E0042,2025-08-16,Abbotsford,Family with children,3,46300,Moderate income,Newcomer/Refugee,Citizen,Co-op housing,3,None,Unsafe/Violence,66,60,226,228,Waiting,BC Housing (Fraser),
FVR-E0043,2025-08-20,Chilliwack,Single adult,1,46950,Moderate income,Senior,Permanent Resident,Family supportive housing,1,Wheelchair,Shelter,69,65,234,237,Waiting,Fraser Valley Housing Society,
FVR-E0044,2025-08-24,Mission,Senior living alone,5,47600,Moderate income,Homeless/At risk,Refugee,Justice re-entry housing,3,None,Couch-surfing,72,70,242,222,Housed,Chilliwack Community Services,
FVR-E0045,2025-08-28,Hope,Couple no kids,2,48250,Moderate income,Disability,Work Permit,Subsidized rental,2,Wheelchair,Unsheltered,75,75,130,135,Waiting,Mission Housing Assoc.,
FVR-E0046,2025-09-01,Kent/Agassiz,Single parent,1,48900,Moderate income,Newcomer/Refugee,International Student,Supportive housing,1,None,Renting >30% income,78,80,138,144,Waiting,Faith-based Housing Partner,
FVR-E0047,2025-09-05,Langley (Fraser Valley),Youth aging out of care,5,49550,Moderate income,Senior,Citizen,Transitional housing,3,Wheelchair,Overcrowded,81,85,146,153,Waiting,High Priority Housing Society,
FVR-E0048,2025-09-09,Abbotsford,Family with children,3,50200,Moderate income,Homeless/At risk,Permanent Resident,Assisted living,3,None,Unsafe/Violence,84,90,154,134,Housed,Abbotsford Community Housing,
FVR-E0049,2025-09-13,Chilliwack,Single adult,1,50850,Moderate income,Disability,Refugee,Co-op housing,1,Wheelchair,Shelter,87,95,162,171,Waiting,BC Housing (Fraser),
FVR-E0050,2025-09-17,Mission,Senior living alone,5,51500,Moderate income,Newcomer/Refugee,Work Permit,Family supportive housing,3,None,Couch-surfing,90,50,170,170,Waiting,Fraser Valley Housing Society,
